"","ymod","prat","cote","tcon","icat","plos","stress","displ"
"1",284095742491.074,0.425636144817155,5.773397536017e-06,11.6984739663079,340.661374531686,276240.842431225,667100000,0.00083876
"2",246623599664.308,0.478706335774623,7.87345428038388e-06,9.24697249736637,218.327584431507,131755.479437672,634270000,0.0011812
"3",267253828333.691,0.439585716411658,8.71916175149381e-06,10.0374313147739,171.234492823482,411398.42297323,735930000,0.0010749
"4",299575364709.832,0.250406069481,1.18147868835367e-05,13.4670572784729,183.250198280439,101027.286642976,1613800000,0.0016831
"5",251351416555.233,0.257457185364608,7.11745593640953e-06,8.47632502047345,322.433780094609,434201.33541096,797760000,0.00094407
"6",270693861736.916,0.273455037249811,5.29881609287113e-06,14.6609677194618,198.02715636231,373034.734464809,636650000,0.00069211
"7",219976402530.447,0.101670110012963,9.32967698294669e-06,12.5123042793013,217.313327890821,154006.448447146,1095200000,0.0014975
"8",279932465196.587,0.299875482928101,1.39958510559052e-05,8.79003165224567,85.3479664465412,316735.063656047,1461300000,0.0018523
"9",208273937943.392,0.213179120657034,6.95774664022028e-06,7.54307338185608,87.7239594487473,173536.232414097,699190000,0.0013915
"10",204201959881,0.322003658799641,1.07182880384848e-05,11.1499552065507,330.937302300707,123914.399858192,1064300000,0.0017623
"11",214220921637.49,0.239327233383618,1.47751666091382e-05,9.77971910862252,164.568591972813,194525.743708573,1387800000,0.0021301
"12",237536300982.349,0.373867240205407,1.28565361379646e-05,14.3878851013258,71.5104843983427,384876.463343762,1054200000,0.0014896
"13",259809786652.215,0.410682105146721,1.2566809445899e-05,13.2439781578258,308.253447115421,282976.140366867,1271300000,0.0016225
"14",272498312842.101,0.156907856086362,8.34975341260433e-06,10.6999600086361,109.779563498683,245043.490253575,1036200000,0.0012137
"15",283128553554.416,0.18623338391073,1.31372133835219e-05,10.2922052954324,290.999168709852,434783.155698329,1695300000,0.0016533
"16",231082079100.423,0.173532472146116,9.81480024270713e-06,6.76878098789603,124.588052193634,401917.588507198,952050000,0.0013542
"17",294116722567.938,0.351871366064623,1.13984999169596e-05,7.10466873981059,285.683904437348,264761.487270147,1374500000,0.0016287
"18",227020039317.198,0.46991883360697,1.15100022466853e-05,5.17161412332207,120.537811106071,300455.735822953,728360000,0.0015867
"19",232027096093.632,0.349551717138384,1.37509737881832e-05,8.08472607405856,235.731214228086,458311.26550585,1196700000,0.0017585
"20",202155990161.933,0.450090181008354,9.41430608732626e-06,11.8361553279683,260.167830263264,353708.407405578,655340000,0.0012021
"21",262360807331.279,0.143023192394618,1.45386750361882e-05,5.70084421588108,248.88545744773,217049.880173616,1.831e+09,0.0021919
"22",223750947401.859,0.302819662513211,6.28132437523454e-06,12.8393665520474,51.4129057815298,328324.346967228,565360000,0.00090845
"23",252419791330.583,0.12513512019366,1.04574458315969e-05,13.8768555231392,156.876856524497,466412.806649134,1163400000,0.0012109
"24",240871860184.707,0.207000455901586,7.74239562051371e-06,6.26154538430274,277.356700118631,180279.469867423,956800000,0.0013688
"25",291295041608.624,0.386594856899884,5.89156201528385e-06,6.16937524750829,139.496667946689,230950.449649803,6.72e+08,0.0010102
